table_index,table,field_name
15,PitchingPost,ER
16,PitchingPost,HR
17,PitchingPost,BB
18,PitchingPost,SO
19,PitchingPost,BAOpp
20,PitchingPost,ERA
21,PitchingPost,IBB
22,PitchingPost,WP
23,PitchingPost,HBP
24,PitchingPost,BK
25,PitchingPost,BFP
26,PitchingPost,GF
27,PitchingPost,R
28,PitchingPost,SH
29,PitchingPost,SF
30,PitchingPost,GIDP
1,Salaries,yearID
2,Salaries,teamID
3,Salaries,lgID
4,Salaries,playerID
5,Salaries,salary
1,Schools,schoolID
2,Schools,schoolName
3,Schools,schoolCity
4,Schools,schoolState
5,Schools,schoolNick
1,SchoolsPlayers,playerID
2,SchoolsPlayers,schoolID
3,SchoolsPlayers,yearMin
4,SchoolsPlayers,yearMax
1,SeriesPost,yearID
2,SeriesPost,round
3,SeriesPost,teamIDwinner
4,SeriesPost,lgIDwinner
5,SeriesPost,teamIDloser
6,SeriesPost,lgIDloser
7,SeriesPost,wins
8,SeriesPost,losses
9,SeriesPost,ties
1,Teams,yearID
2,Teams,lgID
3,Teams,teamID
4,Teams,franchID
5,Teams,divID
6,Teams,Rank
7,Teams,G
8,Teams,Ghome
9,Teams,W
10,Teams,L
11,Teams,DivWin
12,Teams,WCWin
13,Teams,LgWin
14,Teams,WSWin
15,Teams,R
16,Teams,AB
17,Teams,H
18,Teams,2B
19,Teams,3B
20,Teams,HR
21,Teams,BB
22,Teams,SO
23,Teams,SB
24,Teams,CS
25,Teams,HBP
26,Teams,SF
27,Teams,RA
28,Teams,ER
29,Teams,ERA
30,Teams,CG
31,Teams,SHO
32,Teams,SV
33,Teams,IPouts
34,Teams,HA
35,Teams,HRA
36,Teams,BBA
37,Teams,SOA
38,Teams,E
39,Teams,DP
40,Teams,FP
41,Teams,name
42,Teams,park
43,Teams,attendance
44,Teams,BPF
45,Teams,PPF
46,Teams,teamIDBR
47,Teams,teamIDlahman45
48,Teams,teamIDretro
1,TeamsFranchises,franchID
2,TeamsFranchises,franchName
3,TeamsFranchises,active
4,TeamsFranchises,NAassoc
1,TeamsHalf,yearID
2,TeamsHalf,lgID
3,TeamsHalf,teamID
4,TeamsHalf,Half
5,TeamsHalf,divID
6,TeamsHalf,DivWin
7,TeamsHalf,Rank
8,TeamsHalf,G
9,TeamsHalf,W
10,TeamsHalf,L
1,xref_stats,playerID
2,xref_stats,statsID
